"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"33-13012020-060707";"";
"REFERENCE";"LM7805MPX/NOPB";"";
"TraceParts.ClassPath";"";"";
"TraceParts.PartVersion";"1.2.0";"";
"TraceParts.InstanceId";"33-13012020-0607074ILO346EZDLF177INEEDKSP0Z";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"Integrated Circuit SOT223 (3-Pin) - LM7805MP/NOPB, LM7805MPX/NOPB";"";
"SUPPLIER";"Texas Instruments";"";
"DESIGN";"Integrated Circuit SOT223 (3-Pin) - LM7805MPX/NOPB";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartStatusId";"";"";
